,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Differentially expressed?
ENSMUSG00000052146.15_Rps10,219.109488,-0.190597495,0.125281287,-1.52135645,0.128170411,0.904611727,
ENSMUSG00000029499.11_Pxmp2,513.6341767,-0.190830013,0.117770609,-1.620353454,0.105156373,0.882744161,
ENSMUSG00000043943.14_Naalad2,11.0979412,-0.190948332,0.190452381,-1.002604072,0.31605193,0.998523724,
ENSMUSG00000029053.16_Prkcz,100.0474705,-0.190979589,0.115430514,-1.654498302,0.098026308,0.878852337,
ENSMUSG00000020308.6_Tpgs1,35.65232249,-0.191089279,0.127656297,-1.496904456,0.134418121,0.908636645,
ENSMUSG00000023031.7_Cela1,26.79739618,-0.19151243,0.146451664,-1.307683535,0.19098067,0.957196298,
ENSMUSG00000030249.15_Abcc9,410.0442014,-0.191865469,0.084464157,-2.271560828,0.023113049,0.634648657,
ENSMUSG00000025813.14_Homer2,377.3776627,-0.191874527,0.174964642,-1.096647443,0.27279554,0.998523724,
ENSMUSG00000009145.6_Dqx1,84.75368497,-0.191990035,0.15886046,-1.208545129,0.226837648,0.979226992,
ENSMUSG00000041506.15_Rrp9,32.77495099,-0.192027187,0.11841233,-1.621682365,0.104871377,0.882744161,
ENSMUSG00000036504.6_Phpt1,77.2801736,-0.192130197,0.118665316,-1.619093126,0.105427228,0.882744161,
ENSMUSG00000027349.5_Fam98b,88.06005958,-0.192226802,0.124920964,-1.538787374,0.123856213,0.903717982,
ENSMUSG00000039676.3_Capsl,0.985928062,-0.192276046,0.604412699,-0.31812046,0.750393564,0.998523724,
ENSMUSG00000014771.12_Pdcd2,120.2826206,-0.192541438,0.097170164,-1.981487226,0.04753666,0.77158642,
ENSMUSG00000016427.7_Ndufa1,305.0010243,-0.192874167,0.123719041,-1.558969141,0.119003684,0.897665068,
ENSMUSG00000057191.13_AB124611,11.98490489,-0.192943502,0.23199067,-0.831686475,0.405585937,0.998523724,
ENSMUSG00000049892.7_Rasd1,2.101523113,-0.193242476,0.472414555,-0.409052756,0.682500946,0.998523724,
ENSMUSG00000064358.1_mt-Co3,77.06667013,-0.193382292,1.138014205,-0.169929594,0.865065507,0.998523724,
ENSMUSG00000034412.13_Tbc1d10a,42.21709923,-0.193499456,0.177595186,-1.089553494,0.275909878,0.998523724,
ENSMUSG00000029649.10_Pomp,449.7756092,-0.193555038,0.075643588,-2.558776549,0.010504123,0.501890289,
ENSMUSG00000031879.14_Fam96b,84.61036127,-0.193622068,0.104719278,-1.848962983,0.064463158,0.813954546,
ENSMUSG00000025574.13_Tk1,97.39451874,-0.193626357,0.201038565,-0.963130413,0.335482081,0.998523724,
ENSMUSG00000019505.7_Ubb,501.7138486,-0.193998748,0.091922039,-2.110470459,0.034817853,0.705413976,
ENSMUSG00000028268.14_Gbp3,79.6693244,-0.194034458,0.295781255,-0.656006609,0.511819872,0.998523724,
ENSMUSG00000032500.10_Dclk3,88.84585449,-0.194127488,0.142075705,-1.36636653,0.171823949,0.944870492,
ENSMUSG00000038543.13_BC028528,6.611366102,-0.194466756,0.20784052,-0.935653723,0.349451505,0.998523724,
ENSMUSG00000031627.9_Irf2,470.030114,-0.194495283,0.077953594,-2.495013656,0.012595228,0.540188076,
ENSMUSG00000034485.10_Uaca,58.91377658,-0.194620041,0.10436594,-1.86478501,0.062211545,0.80831647,
ENSMUSG00000026389.16_Steap3,135.350693,-0.194669192,0.127360973,-1.528483861,0.126392448,0.904534453,
ENSMUSG00000060636.13_Rpl35a,622.8241717,-0.194906395,0.121569481,-1.603251034,0.108879242,0.884559933,
ENSMUSG00000005362.14_Crbn,186.1145243,-0.194932946,0.111141997,-1.753908976,0.079446105,0.853906507,
ENSMUSG00000024940.10_Ltbp3,16.50574843,-0.195081627,0.144840258,-1.346874338,0.178020708,0.94855433,
ENSMUSG00000023345.17_Poc1a,11.29795589,-0.195200431,0.180366435,-1.082243658,0.279144274,0.998523724,
ENSMUSG00000044296.10_Zfp879,7.444185143,-0.195219512,0.204863452,-0.952925031,0.340628057,0.998523724,
ENSMUSG00000060441.15_Trim5,13.24151766,-0.195382544,0.198757097,-0.983021723,0.325596747,0.998523724,
ENSMUSG00000024012.17_Mtch1,299.7952782,-0.19546825,0.071933604,-2.717342635,0.006580844,0.427523484,
ENSMUSG00000048251.15_Bcl11b,2.730592933,-0.195817031,0.352555717,-0.555421517,0.578606378,0.998523724,
ENSMUSG00000032657.15_Fam189b,4.620389895,-0.195944541,0.314523523,-0.62298851,0.533292073,0.998523724,
ENSMUSG00000001270.9_Ckb,13.71940555,-0.19607194,0.200645808,-0.977204269,0.328468035,0.998523724,
ENSMUSG00000041515.9_Irf8,35.6638803,-0.196540177,0.150658415,-1.304541651,0.192048968,0.957196298,
ENSMUSG00000103711.1_Tstd1,41.46957681,-0.197049006,0.142982918,-1.378129698,0.168163248,0.941670539,
ENSMUSG00000046245.13_Pilra,17.40851789,-0.197064149,0.231743727,-0.850353754,0.395128439,0.998523724,
ENSMUSG00000042182.16_Bend6,1.418067857,-0.197112363,0.500694477,-0.393677925,0.693818841,0.998523724,
ENSMUSG00000034035.18_Ccdc17,22.48682322,-0.197199817,0.130404077,-1.512221253,0.130477586,0.907982464,
ENSMUSG00000001665.11_Gstt3,518.8327843,-0.197261796,0.15473686,-1.274820986,0.202372611,0.963744719,
ENSMUSG00000023089.12_Ndufa5,315.9102469,-0.197262561,0.130212242,-1.51493099,0.129789881,0.907982464,
ENSMUSG00000024300.16_Myo1f,17.64770872,-0.197300455,0.274971423,-0.717530762,0.473046663,0.998523724,
ENSMUSG00000079105.3_C7,9.419567171,-0.197358421,0.233177018,-0.846388819,0.397335874,0.998523724,
ENSMUSG00000038641.12_Akr1d1,1506.856665,-0.197414306,0.089102899,-2.215576706,0.026720506,0.664101663,
ENSMUSG00000112241.1_Sumo3,168.9329197,-0.197470172,0.129707111,-1.522431355,0.127901033,0.904611727,
ENSMUSG00000078816.9_Prkcg,13.403215,-0.197475993,0.160986352,-1.226662942,0.219949302,0.973595629,
ENSMUSG00000021476.9_Habp4,585.7355398,-0.197482758,0.060702437,-3.253292092,0.001140762,0.215367282,
ENSMUSG00000072620.3_Slfn2,16.40614197,-0.197578401,0.279513061,-0.706866436,0.479649484,0.998523724,
ENSMUSG00000069733.11_Ube2u,8.318834136,-0.197701171,0.27812128,-0.710845177,0.477180182,0.998523724,
ENSMUSG00000058099.15_Nfam1,17.00612635,-0.197831923,0.242706237,-0.815108524,0.415010193,0.998523724,
ENSMUSG00000024942.16_Capn1,103.0413799,-0.197913602,0.108842271,-1.818352373,0.069010293,0.826902632,
ENSMUSG00000021496.12_Pcbd2,73.22675026,-0.198043281,0.11259136,-1.758956294,0.078584932,0.852762043,
ENSMUSG00000067786.16_Nnat,1.242290845,-0.198076278,0.473646754,-0.418194099,0.67580521,0.998523724,
ENSMUSG00000021876.14_Rnase4,8190.078787,-0.198222298,0.134032879,-1.47890801,0.139164902,0.912952585,
ENSMUSG00000052974.8_Cyp2f2,3564.201972,-0.198549858,0.146751084,-1.352970302,0.176065118,0.945949999,
ENSMUSG00000057863.5_Rpl36,331.3012518,-0.198671713,0.105217035,-1.888208615,0.05899795,0.799132834,
ENSMUSG00000050668.9_Gpatch11,62.22495257,-0.198724617,0.123961559,-1.603114855,0.108909299,0.884559933,
ENSMUSG00000044072.14_Eml6,11.42339214,-0.198801541,0.256587992,-0.774788949,0.438464381,0.998523724,
ENSMUSG00000040264.10_Gbp2b,11.02406763,-0.198853649,0.372164566,-0.534316449,0.593122614,0.998523724,
ENSMUSG00000024516.12_Sec11c,107.6033986,-0.198872142,0.079546458,-2.500075384,0.012416688,0.536992743,
ENSMUSG00000036198.12_Arhgap36,1.866308635,-0.198924476,0.47627886,-0.417663878,0.676192886,0.998523724,
ENSMUSG00000024338.14_Psmb8,132.9159181,-0.199017814,0.132555098,-1.501396909,0.133252933,0.908599683,
ENSMUSG00000019762.4_Iyd,605.5538712,-0.199328629,0.066415598,-3.001232183,0.002688895,0.291983747,
ENSMUSG00000034738.8_Nostrin,126.3700098,-0.199411454,0.092327287,-2.159832263,0.030785657,0.687715589,
ENSMUSG00000075420.6_Smim6,3.759720674,-0.199544702,0.270418087,-0.737911819,0.460568036,0.998523724,
ENSMUSG00000041075.8_Fzd7,172.7506123,-0.199595559,0.12568334,-1.588082861,0.112267603,0.888470572,
ENSMUSG00000037725.8_Ckap2,3.293753883,-0.199596125,0.603284733,-0.330848958,0.740758578,0.998523724,
ENSMUSG00000038503.15_Mesdc2,161.6219041,-0.199679931,0.084037882,-2.376070479,0.01749812,0.605831014,
ENSMUSG00000048065.8_Cyb5r2,0.449958075,-0.199728123,0.819627956,-0.243681442,0.807477547,0.998523724,
ENSMUSG00000038151.13_Prdm1,3.231908039,-0.199776637,0.340998791,-0.585857317,0.557971402,0.998523724,
ENSMUSG00000069601.14_Ank3,222.2400004,-0.200036669,0.156809939,-1.2756632,0.202074603,0.963744719,
ENSMUSG00000062070.12_Pgk1,863.9908859,-0.200163423,0.075069771,-2.666365164,0.007667636,0.450562282,
ENSMUSG00000047797.14_Gjb1,2879.333817,-0.200318771,0.095752922,-2.092038203,0.036435098,0.718951383,
ENSMUSG00000052981.6_Ube2ql1,1.039216261,-0.200469398,0.691967095,-0.289709438,0.772038535,0.998523724,
ENSMUSG00000105096.1_Gbp10,33.01266063,-0.200586558,0.467170794,-0.429364507,0.667657979,0.998523724,
ENSMUSG00000023939.7_Mrpl14,223.5816,-0.200635572,0.115415603,-1.738374762,0.082144801,0.855757067,
ENSMUSG00000022748.7_Cmss1,9.362989638,-0.200635717,0.216437882,-0.926989839,0.35393181,0.998523724,
ENSMUSG00000056629.15_Fkbp2,385.2458898,-0.200810487,0.096708158,-2.076458604,0.037851556,0.72757691,
ENSMUSG00000030432.12_Rpl28,1127.434402,-0.201011689,0.090837625,-2.212868177,0.026906735,0.664101663,
ENSMUSG00000074264.12_Amy1,1905.138186,-0.201107917,0.078498615,-2.561929485,0.010409245,0.501851422,
ENSMUSG00000029352.14_Crybb3,1.318760853,-0.201316189,0.554648786,-0.362961561,0.716633599,0.998523724,
ENSMUSG00000032741.9_Tpcn1,379.1589768,-0.201326096,0.10216727,-1.970553746,0.048774942,0.778386026,
ENSMUSG00000074384.4_AI429214,5.840710481,-0.201376233,0.261922024,-0.768840397,0.441988064,0.998523724,
ENSMUSG00000021606.8_Ndufs6,663.0635668,-0.201434439,0.111764858,-1.802305686,0.071497324,0.831667021,
ENSMUSG00000012428.9_Steap4,691.6858909,-0.201525154,0.121059504,-1.664678496,0.095976915,0.878089292,
ENSMUSG00000036214.14_Znrd1as,79.45057869,-0.201829749,0.104393637,-1.933352983,0.053192729,0.787023603,
ENSMUSG00000022876.17_Samsn1,3.133685731,-0.201852785,0.370745502,-0.54445107,0.586131111,0.998523724,
ENSMUSG00000058831.13_Opn1sw,0.486829602,-0.201894105,0.742477415,-0.271919524,0.785683898,0.998523724,
ENSMUSG00000023330.12_Dtwd1,36.83032729,-0.201976372,0.105153252,-1.920781024,0.05475932,0.794365215,
ENSMUSG00000035179.3_Ppp1r32,1.528170791,-0.20211927,0.514622044,-0.392752841,0.694502039,0.998523724,
ENSMUSG00000039103.12_Nexn,14.82750882,-0.202302318,0.176034081,-1.149222454,0.250464264,0.992480425,
ENSMUSG00000003526.11_Prodh,849.0221524,-0.202377032,0.152461062,-1.327401436,0.184375925,0.951956798,
ENSMUSG00000026727.10_Rsu1,235.3815677,-0.202499512,0.062020624,-3.265035061,0.001094505,0.213311735,
ENSMUSG00000021298.8_Gpr132,3.185746528,-0.202732929,0.385268616,-0.526211895,0.59874099,0.998523724,
ENSMUSG00000033634.7_Nat8f2,6105.757501,-0.20281566,0.116132584,-1.746414766,0.080738906,0.853906507,
ENSMUSG00000026355.11_Mcm6,34.60602747,-0.202977756,0.209512764,-0.968808546,0.332640722,0.998523724,
ENSMUSG00000042249.11_Grk3,35.06850469,-0.203003819,0.226852379,-0.894871898,0.370855571,0.998523724,
ENSMUSG00000049734.9_Trex1,47.90728459,-0.203303466,0.108071633,-1.881191756,0.059945839,0.801478291,
ENSMUSG00000020474.11_Polm,33.97406837,-0.20330916,0.138117886,-1.471997333,0.141021598,0.915173016,
ENSMUSG00000030188.12_Magohb,10.19060845,-0.203373585,0.210890702,-0.964355387,0.334867781,0.998523724,
ENSMUSG00000061143.15_Maml3,28.64807814,-0.203526799,0.144899208,-1.404609467,0.16013744,0.933254458,
ENSMUSG00000026946.9_Nmi,125.9179002,-0.203637901,0.078534485,-2.592974303,0.009514988,0.493959328,
ENSMUSG00000038489.8_Polr2l,25.62919263,-0.203748864,0.137632486,-1.480383522,0.138770925,0.912952585,
ENSMUSG00000037759.5_Ptger2,5.255384332,-0.203841601,0.255885032,-0.796614008,0.42567524,0.998523724,
ENSMUSG00000024737.2_Slc15a3,30.82649563,-0.20395788,0.254039568,-0.802858714,0.422056401,0.998523724,
ENSMUSG00000038296.14_Galnt18,4.838988294,-0.20406798,0.339576116,-0.600949156,0.547873852,0.998523724,
ENSMUSG00000019214.13_Chtf18,1.183658241,-0.204254957,0.559438658,-0.365106977,0.715031553,0.998523724,
ENSMUSG00000067225.1_Cyp2c54,1400.140791,-0.204277014,0.175559777,-1.163575267,0.244596179,0.987934287,
ENSMUSG00000004151.17_Etv1,9.143419856,-0.204427379,0.205957671,-0.99256987,0.320919614,0.998523724,
ENSMUSG00000001666.8_Ddt,1309.730293,-0.204454216,0.100627796,-2.031786681,0.042175256,0.742944743,
ENSMUSG00000031273.16_Col4a6,1.912541595,-0.204493585,0.386587807,-0.528970602,0.596825843,0.998523724,
ENSMUSG00000030220.13_Arhgdib,75.63062304,-0.204577662,0.142182082,-1.438842784,0.150195071,0.91860015,
ENSMUSG00000074213.2_Gm10642,13.76855628,-0.204637481,0.29644753,-0.690299161,0.490006075,0.998523724,
ENSMUSG00000055305.15_Zfp93,18.37637771,-0.204720864,0.149249295,-1.371670557,0.170166018,0.943203422,
ENSMUSG00000044708.5_Kcnj10,9.89643434,-0.20472135,0.260658506,-0.78540061,0.432218723,0.998523724,
ENSMUSG00000022057.7_Adamdec1,9.035976825,-0.204790542,0.283726129,-0.721789505,0.470423903,0.998523724,
ENSMUSG00000060708.4_Bloc1s4,33.28159202,-0.204858096,0.112544908,-1.820234244,0.06872334,0.826902632,
ENSMUSG00000015217.11_Hmgb3,54.48873168,-0.204957523,0.125248908,-1.636401675,0.101755549,0.878852337,
ENSMUSG00000054435.16_Gimap4,94.06144253,-0.205034584,0.126841025,-1.616468996,0.105992951,0.882959597,
ENSMUSG00000010538.14_Tsacc,13.69017227,-0.205117852,0.139499797,-1.470381004,0.141458593,0.915173016,
ENSMUSG00000032251.12_Irak1bp1,14.31399884,-0.205198883,0.221027268,-0.928387187,0.353206762,0.998523724,
ENSMUSG00000062944.4_9130023H24Rik,33.30094423,-0.205285052,0.127063688,-1.615607537,0.106179193,0.882959597,
ENSMUSG00000040706.4_Agmat,667.0708098,-0.205468459,0.088232992,-2.328703292,0.01987479,0.616101459,
ENSMUSG00000021872.7_Rnase10,0.702195304,-0.205473301,0.663595305,-0.309636459,0.756837427,0.998523724,
ENSMUSG00000025260.10_Hsd17b10,859.4343417,-0.205565417,0.102170621,-2.011981669,0.044221869,0.756188568,
ENSMUSG00000018774.13_Cd68,58.27020665,-0.205922115,0.21967902,-0.937377248,0.34856454,0.998523724,
ENSMUSG00000112148.1_Lilrb4a,64.42511423,-0.205939333,0.184989026,-1.113251625,0.265600376,0.998523724,
ENSMUSG00000021880.6_Rnase6,4.512231485,-0.206028549,0.296810523,-0.69414166,0.487593375,0.998523724,
ENSMUSG00000023216.13_Epb42,0.3961334,-0.206066099,1.140154822,-0.18073519,0.856575436,0.998523724,
ENSMUSG00000030247.9_Kcnj8,24.68677157,-0.206117767,0.180409407,-1.142500108,0.253246201,0.994616318,
ENSMUSG00000044254.6_Pcsk9,314.8840972,-0.206122783,0.101552106,-2.029724357,0.042384566,0.742944743,
ENSMUSG00000045680.8_Tcf21,23.88748391,-0.206272917,0.164594164,-1.25322133,0.210125169,0.967437747,
ENSMUSG00000045948.8_Mrps12,109.45266,-0.206283043,0.082361456,-2.504606569,0.012258767,0.534081158,
ENSMUSG00000032315.6_Cyp1a1,3.950220655,-0.206311621,0.282861018,-0.729374524,0.465772597,0.998523724,
ENSMUSG00000042293.8_Gm5617,42.50454127,-0.206351044,0.139253491,-1.481837491,0.138383541,0.912952585,
ENSMUSG00000058267.13_Mrps14,80.53795977,-0.206353054,0.087137032,-2.368144161,0.017877568,0.605831014,
ENSMUSG00000029377.5_Ereg,3.193596251,-0.20674295,0.381080755,-0.542517424,0.587462108,0.998523724,
ENSMUSG00000018008.7_Cyth4,22.23447902,-0.206811493,0.205980049,-1.004036525,0.315361009,0.998523724,
ENSMUSG00000006095.12_Tbcb,79.48472016,-0.206888026,0.083956761,-2.464221135,0.013731137,0.555707177,
ENSMUSG00000032501.8_Trib1,291.7222002,-0.207083418,0.151735417,-1.364766532,0.172326441,0.944870492,
ENSMUSG00000038055.12_Dexi,73.91756341,-0.20722283,0.164902357,-1.256639588,0.208884173,0.967437747,
ENSMUSG00000031841.19_Cdh13,20.43300151,-0.207230563,0.167410027,-1.237862311,0.215767119,0.97121824,
ENSMUSG00000007987.12_Ift22,20.8359721,-0.2073732,0.111441822,-1.860820266,0.062769563,0.80831647,
ENSMUSG00000063364.10_3300002I08Rik,1.422326915,-0.207438882,0.434239113,-0.477706582,0.632859059,0.998523724,
ENSMUSG00000026980.15_Ly75,31.04909262,-0.207488611,0.12801359,-1.620832685,0.105053527,0.882744161,
ENSMUSG00000050621.7_Rps27rt,0.895121887,-0.207525095,0.521098898,-0.398245122,0.690449508,0.998523724,
ENSMUSG00000000296.8_Tpd52l1,50.5130623,-0.207545961,0.152543488,-1.360569138,0.17364989,0.944870492,
ENSMUSG00000039481.5_Nrtn,2.229895061,-0.207599045,0.379200715,-0.547464804,0.584059445,0.998523724,
ENSMUSG00000036256.13_Igfbp7,614.0165445,-0.207746431,0.096109622,-2.161557054,0.030652335,0.687715589,
ENSMUSG00000052837.6_Junb,76.86440282,-0.207765899,0.200757902,-1.0349077,0.300712018,0.998523724,
ENSMUSG00000047250.13_Ptgs1,53.83955493,-0.20788922,0.142967006,-1.454106266,0.145916847,0.918305544,
ENSMUSG00000037211.12_Spry1,38.78248062,-0.207997879,0.129623552,-1.604630303,0.108575188,0.883335829,
ENSMUSG00000021262.15_Evl,23.40502022,-0.208123182,0.206521847,-1.007753831,0.313572655,0.998523724,
ENSMUSG00000022760.15_Thap7,69.30233204,-0.20821645,0.092056498,-2.261833277,0.023707706,0.634648657,
ENSMUSG00000028874.14_Fgr,15.13967677,-0.208344566,0.212112997,-0.982233851,0.325984655,0.998523724,
ENSMUSG00000002603.15_Tgfb1,53.02428699,-0.208597056,0.131500429,-1.586284218,0.112674851,0.888470572,
ENSMUSG00000032537.15_Ephb1,1.254820092,-0.208694248,0.489627321,-0.426230807,0.669939671,0.998523724,
ENSMUSG00000025645.8_Ccdc51,21.62622004,-0.208740374,0.118143068,-1.76684403,0.077254353,0.847103176,
ENSMUSG00000002984.17_Tomm40,143.6192413,-0.208787742,0.114148058,-1.829095885,0.067385245,0.82598002,
ENSMUSG00000015316.11_Slamf1,0.884446529,-0.208824451,0.575014654,-0.363163703,0.7164826,0.998523724,
